browser position chr19:6900001-7400000
track name=BAC_end_pairs_bed description="BAC end pairs (BED)" color=ffcc66 url=http://www.ensembl.org/human/fastaview?faid=DNA_bacend_1533&id=$$ height=0.1
19	6503520	6641948	CTD-3084A17:AQ144413-AQ186293	1000	-	6503520	6641948	0	2	462,512	0,137917
19	6527567	6695619	RP11-357B22:AZ518790-AQ552859	1000	-	6527567	6695619	0	2	470,525	0,167528
19	6527640	6704480	RP11-134L9:AQ388324-AQ388334	1000	-	6527640	6704480	0	2	307,557	0,176284
19	6543908	6704454	RP11-635J19:AQ404417-AQ521812	1000	-	6543908	6704454	0	2	408,442	0,160105
19	6565259	6662354	CTD-2240J22:AQ067881-AQ068285	1000	+	6565259	6662354	0	2	290,235	0,96861
19	6575583	6743134	RP11-1146A2:AQ776699-AQ775997	1000	+	6575583	6743134	0	2	345,319	0,167233
19	6609679	6695685	CTD-3159G9:AQ806468-AQ785168	1000	-	6609679	6695685	0	2	420,480	0,85527
19	6656312	6834401	RP11-54K7:AQ082061-AQ082063	1000	-	6656312	6834401	0	2	523,640	0,177450
19	6660443	6834365	RP11-815E8:AQ521705-AQ831446	1000	-	6660443	6834365	0	2	367,416	0,173507
19	6663944	6834400	RP11-693F20:AQ456410-AQ613491	1000	+	6663944	6834400	0	2	394,358	0,170099
19	6690797	6859648	RP11-43B22:AQ194096-AQ194097	1000	-	6690797	6859648	0	2	108,219	0,168633
19	6690804	6859677	RP11-43B21:AQ200347-AQ200348	1000	-	6690804	6859677	0	2	109,256	0,168618
19	6695621	6859675	RP11-110E11:AQ318252-AQ349619	1000	+	6695621	6859675	0	2	444,350	0,163705
19	6715910	6906543	RP11-52O9:AQ052600-AQ052704	1000	-	6715910	6906543	0	2	442,295	0,190339
19	6734846	6859668	CTD-2506L12:AQ265354-AQ265369	1000	+	6734846	6859668	0	2	655,336	0,124487
19	6893023	7076582	CTD-2596O14:AQ478079-AQ478078	1000	-	6893023	7076582	0	2	276,560	0,183000
19	6939561	7015323	CTD-3131P1:AQ764658-AQ775418	1000	+	6939561	7015323	0	2	203,202	0,75561
19	7023748	7151301	CTD-2603H17:AQ526928-AQ526927	1000	-	7023748	7151301	0	2	547,350	0,127204
19	7034857	7227884	CTD-2560C1:AQ428617-AQ428620	1000	+	7034857	7227884	0	2	100,450	0,192578
19	7041549	7213106	CTD-2564J11:AQ428439-AQ428437	1000	-	7041549	7213106	0	2	557,433	0,171125
19	7143333	7285890	CTD-3056C15:AQ132637-AQ105768	1000	-	7143333	7285890	0	2	363,306	0,142252
19	7151308	7340824	RP11-876D1:AQ753228-AQ597257	1000	-	7151308	7340824	0	2	527,569	0,188948
19	7152954	7366285	RP11-717H11:AQ512849-AQ431510	1000	-	7152954	7366285	0	2	408,472	0,212860
19	7343523	7518957	CTD-2207O23:AQ088257-AQ101352	1000	-	7343523	7518957	0	2	387,291	0,175144
19	7414719	7570215	CTD-3063K2:AQ891261-AQ785502	1000	+	7414719	7570215	0	2	521,319	0,155178
19	7426706	7632723	CTD-3218M16:AQ189741-AQ204407	1000	-	7426706	7632723	0	2	345,485	0,205533
19	7656765	7800377	CTD-2102F19:AQ571953-AQ566478	1000	+	7656765	7800377	0	2	435,522	0,143091
19	7711037	7924220	CTD-2536C12:AQ356975-AQ356978	1000	+	7711037	7924220	0	2	536,242	0,212942
19	7711095	7906958	CTD-3025C21:AQ093876-AQ094136	1000	+	7711095	7906958	0	2	400,294	0,195570
19	7714149	7862988	RP11-145L1:AQ374457-AQ374459	1000	-	7714149	7862988	0	2	386,479	0,148361
19	7719356	7939427	CTD-2505J5:AQ241637-AQ265057	1000	+	7719356	7939427	0	2	192,182	0,219890
19	7722035	7906975	RP11-42J18:AQ115617-AQ058890	1000	+	7722035	7906975	0	2	376,318	0,184623
19	7727700	7948693	RP11-936B14:AQ711404-AQ666142	1000	-	7727700	7948693	0	2	324,554	0,220440
