browser position chr19:6900001-7400000
track name=INSR description="INSR Human" useScore=1 color=darkgreen
1374	5	0	0	3	3	21	172696	+-	INSR_HUMAN	1382	0	1382	chr19	63790860	7057059	7233892	22	33,184,107,49,48,72,42,82,57,67,12,92,47,53,33,23,82,37,53,44,45,117,	0,33,217,325,375,423,495,537,619,676,743,755,847,894,948,981,1004,1086,1123,1176,1220,1265,	56556968,56582962,56666221,56676129,56678427,56680109,56682767,56684456,56687656,56697931,56700325,56707767,56709042,56718542,56721907,56724206,56725331,56727870,56728086,56730109,56731277,56733450,
413	122	0	0	5	727	9	247989	++	INSR_HUMAN	1382	70	1332	chr15	100114055	96843626	97093220	10	106,47,73,77,37,53,44,42,19,37,	70,327,423,1009,1086,1123,1176,1220,1267,1295,	96843626,97032721,97044643,97070780,97071273,97075158,97078879,97084532,97093025,97093109,
275	66	0	0	1	881	5	11859	+-	INSR_HUMAN	1382	33	1255	chr1	245203898	153589088	153601970	6	95,77,37,53,44,35,	33,1009,1086,1123,1176,1220,	91601928,91612998,91613724,91613961,91614437,91614705,
38	10	0	0	0	0	0	0	+-	INSR_HUMAN	1382	1172	1220	chr6	170740541	117631372	117631516	1	48,	1172,	53109025,
54	34	0	0	1	8	1	24	++	INSR_HUMAN	1382	1143	1239	chr9	134505819	107020239	107020527	2	47,41,	1143,1198,	107020239,107020404,
33	15	0	0	0	0	0	0	++	INSR_HUMAN	1382	1143	1191	chr1	245203898	153626884	153627028	1	48,	1143,	153626884,
34	14	0	0	1	52	1	156	++	INSR_HUMAN	1382	1142	1242	chr1	245203898	64001226	64001526	2	22,26,	1142,1216,	64001226,64001448,
33	16	0	0	0	0	0	0	+-	INSR_HUMAN	1382	1142	1191	chr15	100114055	86059654	86059801	1	49,	1142,	14054254,
33	16	0	0	0	0	0	0	++	INSR_HUMAN	1382	1142	1191	chr9	134505819	81125311	81125458	1	49,	1142,	81125311,
19	4	0	0	0	0	0	0	++	INSR_HUMAN	1382	1143	1166	chr7	158431299	115962784	115962853	1	23,	1143,	115962784,
41	26	0	0	0	0	0	0	++	INSR_HUMAN	1382	1139	1206	chr6_random	12061844	6629721	6629922	1	67,	1139,	6629721,
41	26	0	0	0	0	0	0	++	INSR_HUMAN	1382	1139	1206	chr6_random	12061844	2169274	2169475	1	67,	1139,	2169274,
16	4	0	0	0	0	0	0	+-	INSR_HUMAN	1382	1146	1166	chr3	199411731	49783044	49783104	1	20,	1146,	149628627,
22	12	0	0	0	0	0	0	+-	INSR_HUMAN	1382	1145	1179	chr19	63790860	10308881	10308983	1	34,	1145,	53481877,
22	14	0	0	0	0	0	0	+-	INSR_HUMAN	1382	1145	1181	chr1	245203898	64661387	64661495	1	36,	1145,	180542403,
6	1	0	0	0	0	0	0	+-	INSR_HUMAN	1382	169	176	chr1	245203898	153601541	153601562	1	7,	169,	91602336,

